q	a
How do I find all functions that might be handling JSON data?	afl~json,parse,stringify
I want to see all places where the program is reading user input. How do I find those?	axt@@=sym.gets sym.fgets sym.scanf sym.readline
How can I find all the places where the program is writing to standard output?	axt@@=sym.printf sym.puts sym.fputs sym.write
I want to see if this program uses any compression functions. How do I search?	afl~zip,compress,inflate,deflate
How do I find all the places where random numbers are generated?	axt@@=sym.rand sym.random sym.srand
I want to see all functions that might be doing HTTP requests. How do I find those?	afl~http,curl,wget,request
How can I find all the places where command line arguments are processed?	axt@@=sym.getopt sym.argc sym.argv
I want to see all functions that might be handling XML data. How do I find those?	afl~xml,parse,dom,xpath
How do I find all the places where shared libraries are loaded dynamically?	axt@@=sym.dlopen sym.dlsym sym.LoadLibrary
I want to see all functions that might be doing database operations. How do I find those?	afl~sql,database,query
How can I find all the places where process IDs are being manipulated?	axt@@=sym.getpid sym.fork sym.waitpid
I want to see all the places where file permissions are being changed. How do I find those?	axt@@=sym.chmod sym.chown sym.umask
How do I find all functions that might be handling SSL/TLS operations?	afl~ssl,tls,encrypt,decrypt
I want to see all places where the program is doing logging. How do I find those?	axt@@=sym.syslog sym.log sym.fprintf
How can I find all the places where child processes are being created?	axt@@=sym.fork sym.vfork sym.spawn
I want to see all functions that might be handling configuration files. How do I find those?	afl~config,ini,conf,parse
How do I find all the places where signals are being blocked or unblocked?	axt@@=sym.sigprocmask sym.sigblock sym.sigsetmask
I want to see all functions that might be doing audio processing. How do I find those?	afl~audio,sound,pcm,wave
How can I find all the places where shared memory is being accessed?	axt@@=sym.shmget sym.shmat sym.shmctl
I want to see all functions that might be handling image data. How do I find those?	afl~image,png,jpeg,bitmap
How do I find all the places where message queues are being used?	axt@@=sym.msgget sym.msgsnd sym.msgrcv
I want to see all functions that might be doing Unicode conversion. How do I find those?	afl~unicode,utf,wchar,iconv
How can I find all the places where process priorities are being changed?	axt@@=sym.nice sym.setpriority
I want to see all functions that might be handling timestamps. How do I find those?	afl~time,date,clock,timestamp
How do I find all the places where environment variables are being accessed?	axt@@=sym.getenv sym.environ
How do I find all functions that might be handling mouse or keyboard input?	afl~mouse,keyboard,input,event
