command	description
%	List all environment variables
%*	Show environment variables as r2 commands
%j	Display environment variables in JSON format
%SHELL	Print value of SHELL environment variable
%TMPDIR=/tmp	Set TMPDIR environment variable to "/tmp"
(foo args;..;..)	Define a command macro with arguments
(foo args;..;..)()	Define and immediately execute a command macro
(-foo)	Delete a command macro
.(foo)	Execute a previously defined macro
()	Break/exit from within a macro
(*)	List all defined command macros
(j)	List command macros in JSON format
(foo x y; $0 @ $1)	Define macro with args ($0=x, $1=y)
.(foo 128 0x804800)	Execute macro with arguments 128 and 0x804800
0	Seek to offset 0
0xaddr	Seek to hex address
#!pipe node -e 'console.log(123)'	Run program with arguments inside an r2pipe environment
/* [comment string]	Add multiline comment, end it with '*/'
*/	End multiline comment
.cmd	Execute output of command as r2 script
.:8080	Wait for commands on port 8080
.!rabin2 -re $FILE	Run command output as r2 script
:cmd	Run an io command (same as =!)
-[?]	Open editor and run the r2 commands in the saved document
+	Case insensitive grep (grep -i)
*	Execute r2 commands
j	Output in JSON format ('J' for formatted disassembly)
~?	Count number of lines (like wc -l)
~??	Show internal grep help
~..	Use internal less pager
~{}	Indent JSON output
~<>	Indent XML output
~<100	ASCII-art zoom of console buffer
~{}..	Indent JSON output and use internal less pager
~word[2]	Grep 3rd column of lines matching word
~!word	Grep for lines NOT matching word
~word:3[0]	Grep 1st column from the 4th line matching word
>file	Pipe output of command to file
>>file	Append output of command to file
H>file	Pipe output of command to file in HTML format
H>>file	Append output of command to file in HTML format
`pdi~push:0[0]`	Replace output of command inside the line
|cmd	Pipe output to command (pd|less) (.dr*)
'-' '.-' '. -'	These three commands do the same (seek backwards)
-8	Seek 8 bytes backward (same as s-8)
-a x86	Set asm.arch=x86 (same as e asm.arch=x86)
-A[?]	Run 'aaa' command to analyze all referenced code
-b 32	Set asm.bits=32 (same as e asm.bits=32)
-c cpu	Set asm.cpu (same as e asm.cpu=)
-e k=v	Set configuration variable
-h	Show help message
-H key	Set value for given environment variable
-k kernel	Set asm.os (same as e asm.os=)
-f	Set block size to file size
-j	Enter the js: REPL
-i [file]	Run script file
-s [addr]	Seek to address
-L	List IO plugins (same as L)
-p project	Load project (same as Po)
-P patchfile	Apply given patch file
-v	Show version information
-V	Show version information and exit
--	Seek one block backward (same as s--)
aaa	Perform deeper analysis (most common use)
aaaa	Perform even deeper analysis
aaaaa	Perform deepest analysis to find more functions
x[?] [len]	Hexdump of len bytes (alias for 'px')
'[...]	Run a command without evaluating any special chars
'?e hello @ world	Print everything after `?e` (r2.call)
'0x123'?v $$	Run the '?v $$' command at the 0x123 offset (same as r2.callAt)
!	Execute command in shell
!ls	Execute 'ls' in shell
!*r2p x	Run r2 command via r2pipe in current session
!.	Save command history to hist file
!!	List commands used in current session
!!ls~txt	Execute 'ls' in shell and grep for 'txt'
!!!cmd [args|$type]	Add autocomplete value for command
!!!-cmd [args]	Remove autocomplete value for command
.!rabin2 -rpsei ${FILE}	Run each output line as an r2 command
!echo $R2_SIZE	Display file size
!-	Clear command history in current session
!-*	Clear and save empty command history log
!=!	Enable remotecmd mode
=!=	Disable remotecmd mode
=[fd] cmd	Execute cmd at remote 'fd' (last open is default one)
=<[fd] cmd	Send output of local command to remote fd
=! cmd	Run command via r_io_system
=+ [proto://]host:port	Connect to remote host:port
=-[fd]	Remove all hosts or host 'fd'
==	Compare/test values
=l [name]	Give a name to the current session
=tport	Start the TCP server
=rport	Start the RAP server
=g[?]	Start the GDB server
=h port	Start the HTTP webserver on 'port'
=H port	Start the HTTP webserver on 'port' and launch browser
=&:port	Start RAP server in background
=:host:port cmd	Run 'cmd' command on remote server
=+tcp://localhost:9090/	Connect to: r2 -c.:9090 ./bin
=+rap://localhost:9090/	Connect to: r2 rap://:9090
=+http://localhost:9090/cmd/	Connect to: r2 -c'=h 9090' bin
o rap://:9090/	Start the RAP server on TCP port 9090
=l-	Stop listening in background
=ll	Start a new session: listening for commands in background
=g port file [args]	Listen on 'port' debugging 'file' using gdbserver
?! [cmd]	Run cmd if $? == 0
? eip-0x804800	Show all representations of this math expression
?'	Show help for the single quote (do not evaluate special characters in command)
?$	Show values of all variables ($)
?+ [cmd]	Run cmd if $? > 0
?- [cmd]	Run cmd if $? < 0
?= eip-0x804800	Update $? variable with result of operation
?== x86 `e asm.arch`	Compare two strings
??	Show help message
?a	Show ASCII table
?B [elem]	Show range boundaries like 'e?search.in
?b [num]	Show binary value of number
?b64[-] [str]	Encode/decode in base64
