n	question	command	r2cmd	explanation
1	How can I view all the environment variables?	view all environment variables	You can list all the environment variables currently set by using the `%` command in radare2.	%
2	What command shows environment variables as radare2 commands?	show environment variables as r2 commands	The `%*` command displays the environment variables formatted as radare2 commands, which can be useful for scripting.	%*
3	How do I get the environment variables in a JSON format?	get environment variables in JSON format	To view environment variables in JSON format, you can use the `%j` command, which is useful for parsing with other tools.	%j
4	Can you tell me how to find the value of the SHELL environment variable?	find value of SHELL environment variable	To print the current value of the SHELL environment variable, use the `%SHELL` command.	%SHELL
5	"How can I change the TMPDIR environment variable to ""/tmp""?"	"change TMPDIR environment variable to ""/tmp"""	"You can set the TMPDIR environment variable to ""/tmp"" using `%TMPDIR=/tmp`."	%TMPDIR=/tmp
6	Is there a way to list all the current environment variables?	list current environment variables	To list all currently set environment variables, use the `%` command.	%
7	What command should I use to output environment variables as JSON?	output environment variables as JSON	The `%j` command allows you to display environment variables in JSON format.	%j
8	How do I display the environment variables as commands?	display environment variables as commands	To show environment variables formatted as radare2 commands, use `%*`.	%*
9	Where can I find the value for the SHELL variable?	find value for SHELL variable	You can print the value of the SHELL environment variable using `%SHELL`.	%SHELL
10	"What is the way to set the TMPDIR variable to ""/tmp""?"	"set TMPDIR variable to ""/tmp"""	"To set the TMPDIR environment variable to ""/tmp"", use the command `%TMPDIR=/tmp`."	%TMPDIR=/tmp
11	How can I see all my environment settings?	see all environment settings	Use the `%` command to list all the environment variables.	%
12	Can I see the environment variables as JSON data?	see environment variables as JSON data	To view the environment variables in JSON format, use `%j`.	%j
13	What command lets me view environment variables as radare2 commands?	view environment variables as radare2 commands	The `%*` command shows the environment variables as radare2 commands.	%*
14	How can I check the current SHELL variable value?	check current SHELL variable value	To print the value of the SHELL environment variable, use `%SHELL`.	%SHELL
15	"What is the command to modify TMPDIR to ""/tmp""?"	"modify TMPDIR to ""/tmp"""	"Use `%TMPDIR=/tmp` to set the TMPDIR environment variable to ""/tmp""."	%TMPDIR=/tmp
16	How do I list all environment variables?	list all environment variables	The `%` command will list all environment variables currently set.	%
17	Is there a command to display environment variables as JSON?	display environment variables as JSON	To show environment variables in JSON format, use the `%j` command.	%j
18	How can I output environment variables as radare2 commands?	output environment variables as radare2 commands	Use the `%*` command to display environment variables as radare2 commands.	%*
19	What is the command to get the SHELL environment variable?	get SHELL environment variable	To print the current value of the SHELL environment variable, use `%SHELL`.	%SHELL
