Searching	How can I find all occurrences of a specific pattern in the binary?	/ <pattern>
Searching	How do I search for a wide-encoded string in a binary?	/w <pattern>
Searching	What is the method to find a 4-byte value in memory?	/v4 <value>
Searching	How can I locate all instances of a byte sequence in a file?	/x <bytes>
Searching	How do I retrieve search results in JSON format?	/j <search_json>
Analysis	How can I analyze a binary completely?	aaa
Analysis	How do I list all recognized functions in a binary?	afl
Analysis	How can I define a function at a specific address?	af
Disassembly	What command disassembles code at a specific address?	pdf @ <addr>
Disassembly	How can I disassemble the first 10 instructions at the current position?	pd 10
Debugging	How do I continue execution until the main function is reached?	dcu sym.main
Breakpoints	How can I set a breakpoint on a specific function?	db sym.<name>
Breakpoints	How do I remove all breakpoints from the session?	db-*
Registers	How can I modify a specific register during debugging?	dr <register>=<value>
Configuration	What command allows me to set configuration values?	e <key>=<value>
Memory	How can I inspect 10 bytes of memory?	p8 10
Memory	How do I display a 32-byte memory dump?	px 32
Architecture	What command lists all supported architectures?	rasm2 -L
Architecture	How do I find the architecture of a binary file?	rabin2 -I <binary>
IO	How can I view memory mapped sections?	dm
IO	How do I unmap a section of memory?	dm- <addr>
Visualization	How can I enter the visual mode in radare2?	v <visual>
Strings	How do I list all printable strings in a binary?	izz
Strings	What is the command to find strings within specific sections?	iz
Searching	How can I limit search to a specific address range?	e search.from=<addr>; e search.to=<addr>
Disassembly	What command shows detailed information about instructions?	ao @ <addr>
Patching	How do I overwrite memory with a custom hexadecimal sequence?	wx <hex>
Registers	What is the command to reset the analysis registers?	ar
Breakpoints	How do I toggle trace mode on a specific breakpoint?	dbite <id>
Debugging	What is the command to continue execution in the debugger?	dc
Debugging	How can I step over the next instruction?	dso
Debugging	How can I step into the next instruction?	dsr
IO	How can I dump the contents of a memory section?	dmh <section>
Control Flow	How do I extract CPU instructions?	s-
Heap Analysis	What command is used to decode in a binary?	pxr 16
Call Graph	What is the best way to trace in control flow analysis?	ccn
Function Analysis	Describe the process to unmap.	ir
Call Graph	How do I view CPU instructions?	icq
Binary Patch	How do I dump control flow graph?	aac
Scripting	What is the best way to decompile in radare2?	dt-
Heap Analysis	What is the best way to search for in a binary?	iasm
Data Inspection	What is the best way to trace in radare2?	il
Heap Analysis	What is the best way to patch in control flow analysis?	pb
Function Analysis	How do I simulate control flow graph?	drr
Data Inspection	Describe the process to generate.	agg
Performance	How do I trace call graph?	if
Scripting	How do I emulate decompiled output?	io
Function Analysis	What command is used to list in disassembly output?	prf
Symbol Analysis	How do I patch control flow graph?	wx eb
Headers	Describe the process to disassemble.	dm-
Symbol Analysis	Describe the process to analyze.	dr*
Emulation	What is the best way to dump in a Mach-O file?	pf s
Call Graph	Describe the process to list.	cc-
Headers	What command is used to disassemble in disassembly output?	dtt
Scripting	What is the best way to disassemble in a Mach-O file?	dm+
Symbol Analysis	Describe the process to emulate.	oo
Emulation	How do I search for memory sections?	dcw
Binary Patch	How do I analyze all occurrences of a string?	dbte
Heap Analysis	How do I trace CPU instructions?	drx
Binary Patch	What is the best way to dump in the current function?	ob
Binary Patch	What command is used to map in a binary?	pdr
Binary Patch	What is the best way to set a breakpoint on in the heap?	ag
Call Graph	What command is used to trace in a binary?	aap
Emulation	How do I trace debugger traces?	pds
Headers	What command is used to decompile in a PE file?	eco
Function Analysis	What is the best way to retrieve in a specific address?	om
Control Flow	What command is used to decompile in an ELF file?	pr
Data Inspection	What command is used to trace in the debugger?	ps
